CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,Sample Name,Whole Exome Sequencing (WES),Copy Number Alterations (CNA),Gene Expression,Methylation,"DrugResponse","GDSCTissue descriptor 1","GDSCTissuedescriptor 2","Cancer Type(matching TCGA label)","Microsatellite instability Status (MSI)",Screen Medium,Growth Properties,Drug Name,Synonyms,Target,Target Pathway
HDQ-P1,1290922,344,344_1290922,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.031800129,1.071021253,1.043572915,0.979583426,0.885888517,0.811988954,0.709893239,0.043554534,0.006031181,HDQ-P1,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,THZ-2-49,-,CDK9,Cell cycle
HDQ-P1,1290922,136,136_1290922,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.988788598,1.069223504,0.8028867940000001,0.812852085,0.5769780720000001,0.445944751,0.34081255,0.112625739,0.1014296309999999,HDQ-P1,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,Mitomycin-C,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex",DNA crosslinker,DNA replication
NMC-G1,908449,170,170_908449,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.986038357,0.926004867,0.942195338,0.976929081,0.645821996,0.096650579,0.033273033,0.019794267,0.0170028069999999,NMC-G1,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,Shikonin,Anchusin,not defined,Other
NMC-G1,908449,331,331_908449,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.983466282,0.963488947,0.8436909770000001,0.795708015,0.612517667,0.325653858,0.238840753,0.229491708,0.187304966,NMC-G1,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,QL-X-138,-,BTK,"Other, kinases"
JHH-2,1240157,170,170_1240157,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.032504689,1.004855047,0.992337092,0.905533328,0.135428353,0.028327089,0.035354569,0.02729557,0.01721052,JHH-2,Y,N,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,Shikonin,Anchusin,not defined,Other
JHH-2,1240157,165,165_1240157,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.966043631,0.986591818,0.8938208609999999,0.801325249,0.90845528,1.003572841,0.028064073,0.018870813,0.008428224,JHH-2,Y,N,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,DMOG,Dimethyloxalylglcine,HIF-PH,Metabolism
BT-474,946359,157,157_946359,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.954126204,1.1154655759999998,1.088197085,1.064707122,1.051606522,0.695669712,0.248133836,0.107394775,0.100952797,BT-474,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,JNK-9L,"KIN001-204, JNK inhibitor 9l","JNK2, JNK3",JNK and p38 signaling
EB-3,906847,173,173_906847,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965232558,1.026563054,1.04340642,0.879923488,0.479102044,0.323598833,0.211843333,0.183921817,0.14697526,EB-3,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,FH535,-,"PPARgamma, PPARdelta",WNT signaling
A375,906793,201,201_906793,0.032,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.021854723,0.824360045,0.213934102,0.109643756,0.048510249,0.046274864,0.044368369,0.038143516,0.049841854,A375,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,Epothilone B,"Patupilone, EpoB, EPO906, GNF-PF-193",Microtubule stabiliser,Mitosis
A375,906793,170,170_906793,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.033548367,0.922632201,0.73468427,0.17542407,0.013274255,0.0222635739999999,0.0153608169999999,0.011197954,0.005947343,A375,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,Shikonin,Anchusin,not defined,Other
A375,906793,308,308_906793,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.987088013,0.992126048,0.986602223,0.8793357759999999,0.558519824,0.425561167,0.223424024,0.0063588219999999,0.00514361,A375,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,WIKI4,"WIKI-4, WIKI 4","TNKS1, TNKS2",WNT signaling
