DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
344_910851,1.0,0.971585527,0.906044405,0.954482008,0.917585925,0.279157686,0.258352381,0.233342026,0.204715626,0.197107021,,,,
344_717431,1.0,1.037550283,1.091360482,1.1433408390000002,1.097121271,0.947673878,0.6590680839999999,0.01133739,0.01520647,0.015280235,,,,
344_910925,1.0,1.029276722,1.108623165,0.8517319409999999,0.7822640820000001,0.013142309,0.003812432,0.004972663,0.006073773,0.0073263780000000014,,,,
344_908457,1.0,1.013742691,1.001764546,0.9476234,0.911588752,0.6954980629999999,0.440802826,0.173344715,0.013122593,0.009103834,,,,
344_910853,1.0,0.95163368,0.922052227,0.6873615390000001,0.582084932,0.006509737,0.004950737,0.006649426999999999,0.003549878,0.003617088,,,,
344_908123,1.0,0.967067488,0.945209789,0.987414626,0.996366049,0.913169302,0.745015023,0.0091914,0.005302397,0.006474496999999999,,,,
344_905962,1.0,1.005735526,0.992808304,0.99543877,0.973973368,0.444914774,0.193557884,0.004517348,0.005455818,0.002407902,,,,
344_722045,1.0,0.968492184,0.976497995,0.898751532,0.746105061,0.180654735,0.08676578,0.020786424,0.006432089,0.00645474,,,,
344_917486,1.0,0.986722626,0.914477088,1.061182062,0.754083295,0.253796786,0.016886816000000002,0.008990121,0.010618658,0.008801074,,,,
344_906826,1.0,1.000641431,1.06501244,1.057747382,0.963715747,0.457469495,0.286658223,0.260748731,0.062882123,0.02484544,,,,
344_909784,1.0,0.962312953,1.047091545,1.064229133,0.983446174,0.838909916,0.723420067,0.22380758,0.012006918,0.013892213999999998,,,,
344_909260,1.0,0.98838514,0.976043763,0.908934954,0.7306868320000001,0.088607495,0.0068081240000000005,0.00423586,0.00516764,0.008295884,,,,
344_1298141,1.0,1.035623434,1.115849385,1.23265584,1.195429729,1.137119012,1.014121545,0.627420859,0.010232949,0.007073145,,,,
344_910930,1.0,1.041323818,1.119021333,1.136015075,1.043260041,0.408930127,0.119782403,0.006143226999999999,0.004398969,0.0051392090000000005,,,,
344_907172,1.0,0.959741407,0.5798417260000001,0.016425481999999998,0.014267788,0.010531627,0.012307745,0.011563807,0.012840305,0.013103841,,,,
344_910706,1.0,1.017758004,0.895556197,0.8175350159999999,0.203617949,0.003779716,0.002731034,0.000891368,0.002841987,0.003717081,,,,
344_905959,1.0,1.002842786,1.043110894,0.976622631,0.929391024,0.910593224,0.495484594,0.193923043,0.01042227,0.004215214,,,,
344_907277,1.0,1.012177794,0.975298469,0.981441161,0.7419153890000001,0.75666605,0.026794452000000003,0.015279133,0.018526952,0.00643765,,,,
344_1327766,1.0,1.01877801,0.994309612,0.8673146909999999,0.7661068759999999,0.657619164,0.142293386,0.00460421,0.003971858,0.003787204,,,,
344_1240220,1.0,0.990750758,0.979595222,0.964156336,0.89702307,0.7590615620000001,0.009381268,0.008067236,0.008856963,0.009085774,,,,
344_949161,1.0,0.963213423,0.914266997,0.866364837,0.747653707,0.380579461,0.290363728,0.076582779,0.02174758,0.016669951000000002,,,,
344_908125,1.0,1.024247493,0.974663879,0.910898672,0.710713805,0.280710214,0.009183499,0.007732343000000002,0.012479593999999998,0.011648278,,,,
344_906823,1.0,1.017164959,0.958829822,0.975408094,0.891687536,1.008241234,0.205562906,0.7672216940000001,0.008989005,0.008710726,,,,
344_908134,1.0,0.959917877,1.071482371,0.677071346,0.02411487,0.009334394,0.007336123000000002,0.007016688,0.006805333,0.006675637,,,,
344_687561,1.0,1.027550912,0.945541612,1.005828414,0.990303164,0.883142578,0.341402153,0.007797956999999999,0.008871162,0.007765145,,,,
344_909696,1.0,1.012965721,0.97354974,0.92842428,0.631388033,0.052360443,0.005158389,0.007202609,0.009276891,0.007075423000000002,,,,
344_907286,1.0,1.001446398,0.909312199,0.6670970829999999,0.391004162,0.007099228000000002,0.005185207,0.004705769,0.00440169,0.006554496999999999,,,,
344_907272,1.0,0.965752694,0.8793982659999999,0.8113164909999999,0.640263145,0.015126355,0.009195288,0.009161444,0.007508755,0.009590128,,,,
344_909255,1.0,0.97896698,0.8400733859999999,0.681130152,0.636132795,0.149862652,0.003120846,0.0032140090000000003,0.00787212,0.00539344,,,,
136_1290922,1.0,0.988788598,1.069223504,0.8028867940000001,0.812852085,0.5769780720000001,0.445944751,0.34081255,0.112625739,0.101429631,,,,
136_905973,1.0,1.008032443,0.980472486,0.949540475,0.768246234,0.784775475,0.459285208,0.306869447,0.12575475,0.115891069,,,,
136_907045,1.0,1.038077022,1.110748254,1.122747592,1.081668668,1.070245665,0.837512525,0.428707909,0.117455789,0.103903482,,,,
136_907287,1.0,0.999961827,0.957929414,0.964534613,0.922598248,0.852539301,0.782199595,0.243873409,0.100943009,0.059743019,,,,
136_910399,1.0,0.999667096,1.09760184,1.111477177,0.901417523,0.593598312,0.339259449,0.111703921,0.052846087,0.045363815,,,,
136_1298144,1.0,0.955519685,0.865776047,0.761634905,0.6112865710000001,0.4853577670000001,0.282716051,0.180192909,0.065838333,0.036792103,,,,
136_909709,1.0,0.99694244,1.074835998,1.160279338,1.019514089,0.975633404,0.7446592559999999,0.503046778,0.155491292,0.122993556,,,,
136_1290797,1.0,1.015189654,1.028470726,1.001219275,1.045912483,0.949069954,0.7435838690000001,0.242604285,0.019668163,0.021421447000000003,,,,
136_907312,1.0,0.992689609,1.1494568040000002,1.097291444,0.803767004,0.886636005,0.7458535940000001,0.473207105,0.210215767,0.162591564,,,,
136_724872,1.0,0.983187746,0.976060225,0.91248268,0.7820001679999999,0.723468503,0.35652799700000004,0.114957362,0.030313705,0.011767195,,,,
136_1240134,1.0,0.986506814,1.017410109,0.90685838,1.134470296,0.92876207,0.7601241409999999,0.418204475,0.161352009,0.15405374800000002,,,,
136_1298219,1.0,0.954158773,0.842923414,0.6732765890000001,0.7008119690000001,0.482351994,0.4620757270000001,0.309544401,0.075657037,0.051225603,,,,
136_910687,1.0,0.986848564,1.0271428459999998,0.468533617,0.07717518799999999,0.047580883,0.030350538,0.030412627,0.010738741,0.009325874,,,,
136_906864,1.0,0.989098393,1.049716734,0.680430607,0.534492972,0.266579463,0.202921711,0.120921895,0.066582095,0.028316279,,,,
170_688087,1.0,0.969886596,0.999747817,0.99190282,0.992989751,1.056121337,0.801851497,0.03893769,0.013331656,0.008296523,,,,
170_1240216,1.0,0.989376323,0.888660155,0.956639752,0.92606101,0.956947362,0.940274884,0.043581757,0.03370177,0.014798547,,,,
170_910948,1.0,0.95549594,1.077897268,0.986923001,1.086149208,0.12590429,0.111531148,0.007246439,0.0052452,0.006429389000000001,,,,
170_688006,1.0,1.011176441,0.991138654,0.940313695,0.881018333,0.376947511,0.06854441,0.010400586,0.0027012570000000003,0.001970765,,,,
170_1240190,1.0,0.98286641,0.929197925,0.974423473,0.449241929,0.022115801,0.009846681,0.013949491,0.006797964,0.005211,,,,
170_910911,1.0,1.002971192,0.932654729,1.016214711,1.040072897,0.29043926,0.018833102,0.004583644,0.003092172,0.004473661,,,,
170_908145,1.0,1.007383766,0.933512316,0.932348699,0.63220032,0.575706094,0.008436605,0.016804918999999998,0.012851864,0.00452004,,,,
170_1240160,1.0,0.977759399,0.932186905,0.5080420370000001,0.033522787000000005,0.006095815,0.003438659,0.0028380790000000003,0.003386315,0.002872516,,,,
170_687590,1.0,0.995007274,1.010285799,1.02014698,1.026380958,0.738767593,0.10455998,0.00226526,0.002565817,-0.000307795,,,,
170_949156,1.0,0.959910674,0.758488926,0.934654787,0.92293395,0.707994818,0.050375476,0.5667300239999999,0.05475467,0.029627739,,,,
170_910853,1.0,0.976703254,0.7402101520000001,0.310465082,0.017889645,0.007786611,0.007177288,0.009033643,0.008725196,0.007682534,,,,
170_907043,1.0,0.972086864,0.953878402,0.8145205529999999,0.021856994,0.016103197,0.011262277,0.00449153,0.004026170999999999,0.002826348,,,,
170_722045,1.0,1.028924372,0.983847507,0.858777738,0.7222044879999999,0.089226283,0.042596973,0.025366226,0.013065543,0.0014152079999999998,,,,
170_910689,1.0,1.002470499,1.032672161,1.046620566,1.010573696,0.925230249,0.367042697,0.049058263,0.01153731,0.003553403,,,,
170_910910,1.0,0.990404854,0.965238511,1.007592732,1.013843459,0.964108737,0.7515152709999999,0.612921386,0.09966782,0.074959354,,,,
170_909976,1.0,0.980369505,0.979556066,0.980440885,0.8897446509999999,0.834664263,0.06410987,0.019763309,0.00276139,0.006377997,,,,
170_924104,1.0,0.977611259,0.992576851,0.966620646,0.888910482,0.041630652,0.019955404,0.020447154,0.014729194,0.013125542,,,,
170_908445,1.0,0.971341076,0.988510809,0.962253205,0.968579563,0.940732188,0.8278975390000001,0.014206331,0.006974246999999999,0.005464704,,,,
170_906834,1.0,0.971208514,1.012412287,0.928833622,0.991812667,0.537808056,0.091738347,0.015833161999999998,0.012007,0.011771265,,,,
170_1299081,1.0,0.984138073,1.03067144,0.871673548,0.620408882,0.239788438,0.087830184,0.063792632,0.063031459,0.060747939,,,,
170_905933,1.0,1.01799046,0.797480029,0.783050982,0.460236624,0.139785675,0.059516218,0.044157659,0.043184914000000005,0.052645757,,,,
170_908476,1.0,0.952686453,0.91879844,0.879570829,0.890061843,0.961784415,0.6159442470000001,0.062727521,0.040909139,0.035391817,,,,
170_1298347,1.0,0.967826157,0.900553446,0.909419092,0.989979169,0.97372582,0.731334885,0.10362248,0.01612495,0.016498474,,,,
170_1327775,1.0,1.006746417,1.109396558,0.79603584,0.524721005,0.054344233,0.014004804,0.042399062,0.042544531,0.035964895,,,,
170_907066,1.0,0.97520259,0.963325206,0.943072204,0.736002328,0.069217664,0.023279728,0.013615889,0.012204772,0.008308296,,,,
170_909253,1.0,0.994888485,0.987949201,0.982819966,1.030981487,0.8567046359999999,0.18442912,0.15379727199999998,0.004246643,0.002966057,,,,
170_905938,1.0,1.009897102,1.010798222,0.966459207,0.948180713,0.890975465,0.475777514,0.017429583000000002,0.003718983,0.002874615,,,,
170_946356,1.0,0.950756914,0.907888529,0.921338605,0.906050507,0.8261064929999999,0.04622769,0.043898644,0.040149609,0.052647497,,,,
170_688014,1.0,0.963078505,1.052027945,1.00594743,0.990092622,0.8002063859999999,0.405991431,0.053567776,0.002793697,0.001688987,,,,
170_1240145,1.0,1.019461288,0.921177568,0.889433127,0.566342612,0.08470647199999999,0.028082088,0.025971972000000003,0.029865533,0.014918144,,,,
170_907791,1.0,1.012308925,1.028417542,0.972908077,0.7779465640000001,0.052833166,0.00695586,0.008579139,0.007399536,0.007107286,,,,
170_946358,1.0,0.95219198,0.946380965,0.624380342,0.466912616,0.042077114000000006,0.021568335,0.016179251999999998,0.0116835,0.011185912,,,,
170_1303897,1.0,0.98661712,0.968161597,0.980199156,0.7600503259999999,0.048593017,0.030102231,0.00844901,0.009869426,0.009817236,,,,
170_1330947,1.0,0.991761385,0.961184393,0.974476653,0.945190532,0.8859494840000001,0.839590781,0.012517377,0.009945223,0.002915547,,,,
170_910779,1.0,1.031127418,0.918150458,1.129604106,1.245832698,0.865218649,0.645327736,0.063587276,0.03933525,0.004507553,,,,
170_687997,1.0,0.968311918,0.951065351,0.985373902,0.952108128,0.619703291,0.499344091,0.038084421,0.025004166,0.007553838,,,,
170_905976,1.0,1.040558022,0.747457809,1.009419456,1.050492584,0.689029309,0.230023279,0.021332294,0.017124273,0.014766518,,,,
170_906999,1.0,1.014533459,1.080510083,1.10349093,0.925986807,0.439856973,0.31122535100000004,0.040279812000000005,0.027794904,0.02243922,,,,
170_908125,1.0,0.958638708,0.956966798,1.020487438,0.055517677,0.019553697,0.014457357,0.018601306,0.021533119,0.020741948,,,,
170_909703,1.0,0.957426745,0.894556605,0.8367310440000001,0.397507214,0.00822544,0.011255066,0.004620112,0.00476044,0.0017128229999999998,,,,
170_906844,1.0,0.969513172,1.035404862,0.350781609,0.01512649,0.066709506,0.019127468,0.00692278,0.006293943000000001,0.006773431,,,,
170_909713,1.0,1.048154789,1.027102861,0.860007741,0.305903473,0.014195268999999996,0.011770283,0.017509305,0.016978529,0.012871644,,,,
170_753586,1.0,0.994087072,0.956354644,0.608019956,0.029783827,0.022718319,0.016005935,0.018039437,0.011476217,0.003171735,,,,
170_908120,1.0,0.977550661,1.218105033,1.071395122,0.7274902529999999,0.631382153,0.604002095,0.299390186,0.089633126,0.095022889,,,,
170_1298350,1.0,0.980321695,0.876681278,0.937889128,0.934010157,0.982173304,0.35711401,0.02567771,0.02486641,0.021060226,,,,
170_1303900,1.0,1.036726538,1.08175326,0.980638467,1.087807424,0.92812887,0.59409399,0.054563578,0.033286945,0.040796607,,,,
170_949176,1.0,0.973929465,0.991233754,0.94391963,0.968882137,0.916164453,0.113272708,0.236842103,0.007492839,0.006742263,,,,
170_753558,1.0,1.028031622,0.992537415,1.0155401590000002,0.911681843,0.341769038,0.122514468,0.142867593,0.018020468,0.016152796,,,,
