DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9,param_1,param_2,param_3,param_4
344_910851,1.0,1.0052807363782443,0.9910873639871285,0.9553470656443092,0.8140919671410319,0.5683715114008195,0.24770326854680474,0.07990534730586085,0.009033577919687608,0.008794545445112377,-3.5278452745236324,0.9938768873865396,6.44985682948685,-0.0411263462753422
344_717431,1.0,1.0067105694981238,0.9704136036142561,0.8920756991384793,0.7302194005304837,0.5208362554748168,0.25311964939306714,0.07233169594955101,0.00979429744303542,0.008990244740868228,-2.7266927483077086,0.9897288347948273,4.858993144174458,-0.08898759224695994
344_910925,1.0,1.0052151729472814,1.0037753818790927,0.9542492664880654,0.8194781938301114,0.5903361375270184,0.2543770233831605,0.0925600652019407,0.010456616363593104,0.00991031498380765,-3.4600366395628996,0.9961764451505803,6.434334888200959,-0.04193209220874922
344_908457,1.0,1.0062768921939753,0.9963299613168365,0.9764803757143612,0.8171823170334348,0.5244662382956579,0.21022132829257995,0.0362751915716964,0.009938709477273539,0.0104862583639974,-4.096797697771069,0.9988749793111056,7.113403155318638,-0.02720933014660829
344_910853,1.0,1.0140373622855317,0.9969504892407732,0.9785219586014618,0.8475355440406381,0.6638412239069978,0.41407843319273296,0.15924311588702797,0.008610241275472153,0.007494565574110813,-2.447525221667233,1.0016247148708843,5.541677327011887,-0.11359850509445642
344_908123,1.0,1.0084656048336174,0.9935216405969707,0.9462894616105081,0.7917128572040891,0.5524809738823119,0.2467220253197732,0.08662082608098473,0.014103914453393152,0.011311720223270653,-3.3178472904722067,0.9965873349025084,5.972704226228017,-0.04590238402334526
344_905962,1.0,1.0099710091392828,1.0065380337782321,0.9881853367116556,0.8697372942109524,0.572067937693937,0.2492541835194416,0.033795837669499895,0.009674157153351416,0.01113394845403781,-4.207319891286786,1.0029681673510862,7.6850216474740245,-0.025708146746131474
344_722045,1.0,1.0013728557634918,0.9844257348433009,0.9394818797337497,0.8123794482178681,0.5119711773549062,0.23141896066724932,0.09963371850849015,0.010068848410088788,0.008338322371965093,-3.5835629241904,0.992205809404392,6.283524205007456,-0.030195849958882286
344_917486,1.0,1.0069232881158288,0.9866978624330002,0.9634466022468121,0.7911630006864658,0.5596941394434225,0.26591692801673,0.04018927569298895,0.006499289547991055,0.007682182835299722,-3.3874723809712974,0.9949673578888472,6.187773740007778,-0.057301715278730264
344_906826,1.0,1.0113295501108595,1.0199007098886523,0.9775819272480523,0.8486564807623163,0.6155474464287317,0.35400287643045875,0.1072838762430429,0.014730918012290626,0.011434235883285238,-2.9501568923251877,1.0079717520781006,5.948500120275279,-0.06855133242604565
344_909784,1.0,1.0201838482900547,1.0023252340680495,0.9763628638070311,0.7787437689026148,0.5776136927284671,0.43686939146069453,0.22250750412217993,0.010260658633184344,0.010183912164411812,-1.5742731118062405,1.0180066547976696,3.8918110266792554,-0.2371490396098336
344_909260,1.0,1.0069259394220558,0.9640028712905621,0.8656579724914037,0.6936982427921562,0.512394887156671,0.23529879259754552,0.0735452118535883,0.008851597223124135,0.007950512730825098,-2.494948080326798,0.9907063895235834,4.379079885636229,-0.11052939167603773
344_1298141,1.0,1.0100674916062984,0.9869482746421334,0.9238902550493331,0.77886542756739,0.53933519758877,0.301915677831325,0.04987840519161557,0.01002583645144532,0.01018594136174695,-2.9186781942295266,0.9940333242282738,5.401603151698126,-0.0791562874867713
344_910930,1.0,1.0154843892069827,0.9612099758323657,0.8701638021712378,0.7108873685860511,0.5149162573592402,0.1939297074293998,0.055453170354643706,0.008653997858040765,0.007718250943985842,-2.917950843780934,0.98651148137164,4.974843560704751,-0.08085647632305219
344_907172,1.0,1.0170034915486705,0.9906387370045944,0.9719281477978354,0.8316616644197994,0.6081849866255732,0.40237014033900054,0.148229977099874,0.008526165934855964,0.008519092534044316,-2.3519689123652414,1.0043717326100436,5.112830379935976,-0.1209626560330111
344_910706,1.0,1.006445728414158,0.9960192464696602,0.9482897546811642,0.7808635078095163,0.5206085497333344,0.22544948195580528,0.06323797882162648,0.007177620759929644,0.006808016594783228,-3.4864838758119543,0.9978104505167272,6.072739350647737,-0.04585068706820017
344_905959,1.0,1.0102520573990572,0.9788687312095973,0.8768338871913477,0.7094086939940003,0.5222155201225077,0.25132517048152014,0.104073701066446,0.01237297334806015,0.01031378478202969,-2.41753544262043,0.9970999348048192,4.3372275903431055,-0.1102770750920114
344_907277,1.0,1.0031787837483,0.9647269121432833,0.8386516162665173,0.6092145472939822,0.4242993025415189,0.22783756993393212,0.07684901422964421,0.00578287541096774,0.005009578027854063,-2.3664245154235615,1.0026447597303016,3.7605179793162926,-0.11698044531702705
344_1327766,1.0,1.0000922160554122,0.9702192067609601,0.8875340032182548,0.6792411009399371,0.4162561909897208,0.20914782060504764,0.06544609088334719,0.007092173880016808,0.006200974286732148,-3.0508689032256053,0.9943463664495916,4.821105837773466,-0.06166170817869588
