DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
344_910851,1.0,0.971585527,0.906044405,0.954482008,0.917585925,0.279157686,0.258352381,0.233342026,0.204715626,0.197107021,-16.42456380887058,0.9581746254555464,23.736499133337496,0.2229405830597546
344_717431,1.0,1.037550283,1.091360482,1.1433408390000002,1.097121271,0.947673878,0.6590680839999999,0.01133739,0.01520647,0.015280235,-9.97921396041744,1.054327247666086,25.806256251080423,0.003960757992896168
344_910925,1.0,1.029276722,1.108623165,0.8517319409999999,0.7822640820000001,0.013142309,0.003812432,0.004972663,0.006073773,0.0073263780000000014,-19.67940748436861,0.9975094620429428,25.848962004384703,0.004848128445835341
344_908457,1.0,1.013742691,1.001764546,0.9476234,0.911588752,0.6954980629999999,0.440802826,0.173344715,0.013122593,0.009103834,-2.7046818576107445,0.9954165017237652,6.3276672136408605,-0.08648209533397902
344_910853,1.0,0.95163368,0.922052227,0.6873615390000001,0.582084932,0.006509737,0.004950737,0.006649426999999999,0.003549878,0.003617088,-5.761424227753755,0.9340204294181198,7.109134504094093,-0.02941090930446819
344_908123,1.0,0.967067488,0.945209789,0.987414626,0.996366049,0.913169302,0.745015023,0.0091914,0.005302397,0.006474496999999999,-15.21699242302119,0.9682506159725948,40.483854146824214,0.004930870721331464
344_905962,1.0,1.005735526,0.992808304,0.99543877,0.973973368,0.444914774,0.193557884,0.004517348,0.005455818,0.002407902,-6.325899344406746,1.0090740832362564,10.630912353125591,0.007470171388250737
344_722045,1.0,0.968492184,0.976497995,0.898751532,0.746105061,0.180654735,0.08676578,0.020786424,0.006432089,0.00645474,-8.228032316176813,0.9656776083816142,11.533051575765645,0.018718149915518057
344_917486,1.0,0.986722626,0.914477088,1.061182062,0.754083295,0.253796786,0.016886816000000002,0.008990121,0.010618658,0.008801074,-7.537546024118463,0.9907339124398716,10.846830216612496,0.0011842771168644349
344_906826,1.0,1.000641431,1.06501244,1.057747382,0.963715747,0.457469495,0.286658223,0.260748731,0.062882123,0.02484544,-4.879637907172482,1.0433115456128417,8.096252772440689,0.08848723434628625
344_909784,1.0,0.962312953,1.047091545,1.064229133,0.983446174,0.838909916,0.723420067,0.22380758,0.012006918,0.013892213999999998,-3.809804944095592,0.9986085148609456,11.318437555077468,-0.04061976085852414
344_909260,1.0,0.98838514,0.976043763,0.908934954,0.7306868320000001,0.088607495,0.0068081240000000005,0.00423586,0.00516764,0.008295884,-11.244738726390796,0.9698573228010258,15.21803407297342,0.0038361682351457367
344_1298141,1.0,1.035623434,1.115849385,1.23265584,1.195429729,1.137119012,1.014121545,0.627420859,0.010232949,0.007073145,-5.238587620657142,1.1098603032256082,21.848543880777434,-0.02783267876648189
344_910930,1.0,1.041323818,1.119021333,1.136015075,1.043260041,0.408930127,0.119782403,0.006143226999999999,0.004398969,0.0051392090000000005,-8.939399343416227,1.079908661366726,14.399764797506515,0.018265921174929426
